time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-29 09:47:10.446 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,23, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,283440728,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:48:10.447 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,23, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,285737040,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:49:10.450 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9, ,25, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,288987264,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:50:10.452 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9, ,25, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,291408008,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:51:10.454 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,16, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,294775752,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:52:10.456 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,16, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,296774864,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:53:10.459 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,9, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,299310760,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:54:10.461 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,16, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,303102408,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:55:10.463 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,9, ,18, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,305564352,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
2019-05-29 09:56:10.475 UTC, ,125,3199701,2008,42760,11088, ,7, , , , , , , , , , , ,7,7, , , ,2,4,7, , , , , , , , , , , , , , , , ,3265,2, ,2039, , , , , ,31,31, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1559122750317, , , , ,3145728, , , , ,8, ,16, , , , , ,3,3, , , , ,1, , , , , , , , , , , , , , , , , , ,308100104,-1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , 
